File Name, File Path, Created Date, Last Accessed Date, Last Modified Date, File Type Id, File Extension, File Size
Sms(+64275176265)-(2015-03-06T13:15:04+13:00),\Report.xml\Sms(+64275176265)-(2015-03-06T13:15:04+13:00),2015-03-06 00:15:04.000,NULL,NULL,NULL,NULL,525
Sms(0221957902)-(2015-03-06T13:18:40+13:00),\Report.xml\Sms(0221957902)-(2015-03-06T13:18:40+13:00),2015-03-06 00:18:40.000,NULL,NULL,NULL,NULL,385
Sms(+64212944678)-(2015-03-06T13:21:45+13:00),\Report.xml\Sms(+64212944678)-(2015-03-06T13:21:45+13:00),2015-03-06 00:21:45.000,NULL,NULL,NULL,NULL,517
Sms(+64212944678)-(2015-03-06T13:27:17+13:00),\Report.xml\Sms(+64212944678)-(2015-03-06T13:27:17+13:00),2015-03-06 00:27:17.000,NULL,NULL,NULL,NULL,532
Sms(vodafoneNumber)-(2015-03-06T14:11:17+13:00),\Report.xml\Sms(vodafoneNumber)-(2015-03-06T14:11:17+13:00),2015-03-06 01:11:17.000,NULL,NULL,NULL,NULL,606
Sms(71234567896)-(2015-03-06T14:11:17+13:00),\Report.xml\Sms(71234567896)-(2015-03-06T14:11:17+13:00),2015-03-06 01:11:17.000,NULL,NULL,NULL,NULL,383
Sms(71234567896)-(2015-03-06T14:14:35+13:00),\Report.xml\Sms(71234567896)-(2015-03-06T14:14:35+13:00),2015-03-06 01:14:35.000,NULL,NULL,NULL,NULL,396
Sms(+64274500824)-(2015-03-09T09:36:53+13:00),\Report.xml\Sms(+64274500824)-(2015-03-09T09:36:53+13:00),2015-03-08 20:36:53.000,NULL,NULL,NULL,NULL,589
CalendarEvent(2015-03-18T00:00:00Z),\Report.xml\CalendarEvent(2015-03-18T00:00:00Z),2015-03-18 00:00:00.000,NULL,NULL,NULL,NULL,314
CalendarEvent(2015-11-05T00:00:00Z),\Report.xml\CalendarEvent(2015-11-05T00:00:00Z),2015-11-05 00:00:00.000,NULL,NULL,NULL,NULL,315
CalendarEvent(2016-01-08T06:00:00+13:00),\Report.xml\CalendarEvent(2016-01-08T06:00:00+13:00),2016-01-07 17:00:00.000,NULL,NULL,NULL,NULL,338
Mms(+64212944678)-(2015-03-06T13:25:59+13:00),\Report.xml\Mms(+64212944678)-(2015-03-06T13:25:59+13:00),2015-03-06 00:25:59.000,NULL,NULL,NULL,NULL,497
Wicked_Welcomes.vcf,\Report.xml\Mms(+64212944678)-(2015-03-06T13:25:59+13:00)\Wicked_Welcomes.vcf,NULL,NULL,NULL,1237,vcf,99
Mms(+64212944678)-(2015-03-06T13:24:05+13:00),\Report.xml\Mms(+64212944678)-(2015-03-06T13:24:05+13:00),2015-03-06 00:24:05.000,NULL,NULL,NULL,NULL,497
Customer_Service.vcf,\Report.xml\Mms(+64212944678)-(2015-03-06T13:24:05+13:00)\Customer_Service.vcf,NULL,NULL,NULL,1237,vcf,101
Mms(+64275176265)-(2015-03-06T13:15:29+13:00),\Report.xml\Mms(+64275176265)-(2015-03-06T13:15:29+13:00),2015-03-06 00:15:29.000,NULL,NULL,NULL,NULL,507
imagejpeg_0.jpg,\Report.xml\Mms(+64275176265)-(2015-03-06T13:15:29+13:00)\imagejpeg_0.jpg,NULL,NULL,NULL,1,jpg,120079
Mms(+64275176265)-(2015-03-06T12:52:16+13:00),\Report.xml\Mms(+64275176265)-(2015-03-06T12:52:16+13:00),2015-03-05 23:52:16.000,NULL,NULL,NULL,NULL,527
imagejpeg_0.jpg,\Report.xml\Mms(+64275176265)-(2015-03-06T12:52:16+13:00)\imagejpeg_0.jpg,NULL,NULL,NULL,1,jpg,125464
Mms(0221957902)-(2015-03-06T12:40:31+13:00),\Report.xml\Mms(0221957902)-(2015-03-06T12:40:31+13:00),2015-03-05 23:40:31.000,NULL,NULL,NULL,NULL,487
Raw.png,\Report.xml\Mms(0221957902)-(2015-03-06T12:40:31+13:00)\Raw.png,NULL,NULL,NULL,127,png,53003
Mms(0212944678)-(2015-03-05T14:56:16+13:00),\Report.xml\Mms(0212944678)-(2015-03-05T14:56:16+13:00),2015-03-05 01:56:16.000,NULL,NULL,NULL,NULL,536
20150305_145409.jpeg,\Report.xml\Mms(0212944678)-(2015-03-05T14:56:16+13:00)\20150305_145409.jpeg,NULL,NULL,NULL,1,jpeg,277893
edwardcullen_piano.jpg,\Device storage\Pictures\edwardcullen_piano.jpg,2015-03-06 12:23:50.000,NULL,NULL,1,jpg,19234
Find.png,\Device storage\Pictures\Find.png,2015-03-06 12:23:50.000,NULL,NULL,127,png,85907
fish.gif,\Device storage\Pictures\fish.gif,2015-03-06 12:23:50.000,NULL,NULL,176,gif,30138
Teddy.gif,\Device storage\Pictures\Teddy.gif,2015-03-06 12:24:04.000,NULL,NULL,176,gif,444192
Wink .jpg,\Device storage\Pictures\Wink .jpg,2015-03-06 12:24:04.000,NULL,NULL,1,jpg,4395
Raw1.png,\Device storage\Pictures\Raw1.png,2015-03-06 12:24:04.000,NULL,NULL,127,png,53003
20150305_1454091.jpg,\Device storage\DCIM\Camera\20150305_1454091.jpg,2015-03-05 14:54:09.000,NULL,NULL,1,jpg,3004626
20150306_115144.jpg,\Device storage\DCIM\Camera\20150306_115144.jpg,2015-03-06 11:51:44.000,NULL,NULL,1,jpg,1865412
20150306_115201.jpg,\Device storage\DCIM\Camera\20150306_115201.jpg,2015-03-06 11:52:01.000,NULL,NULL,1,jpg,3457303
Voice 001.m4a,\Device storage\Sounds\Voice 001.m4a,2015-03-05 15:33:27.000,NULL,NULL,196,m4a,245488
Adele - Someone Like You.mp3,\Device storage\Music\Adele - Someone Like You.mp3,2015-03-06 12:22:55.000,NULL,NULL,197,mp3,2273070
black eyed peas- i got a feelin.mp3,\Device storage\Music\black eyed peas- i got a feelin.mp3,2015-03-06 12:22:55.000,NULL,NULL,197,mp3,1969136
predator-growl.mp3,\Device storage\Music\predator-growl.mp3,2015-03-06 12:22:55.000,NULL,NULL,197,mp3,42112
Rihanna Love The Way You Lie.mp3,\Device storage\Music\Rihanna Love The Way You Lie.mp3,2015-03-06 12:22:56.000,NULL,NULL,197,mp3,1317747
Over_the_horizon.mp3,\Device storage\Samsung\Music\Over_the_horizon.mp3,2014-02-04 07:58:28.000,NULL,NULL,197,mp3,3076096
Mad Men Trailer.mp4,\Device storage\Movies\Mad Men Trailer.mp4,2015-03-06 12:30:27.000,NULL,NULL,196,mp4,4242852
Bilal Official Teaser Trailer #1 (2015) Animation Movie HD.mp4,\Device storage\Movies\Bilal Official Teaser Trailer _1 (2015) Animation Movie HD.mp4,2015-03-06 12:30:40.000,NULL,NULL,196,mp4,7378422
20150306_122616.mp4,\Device storage\DCIM\Camera\20150306_122616.mp4,2015-03-06 12:26:26.000,NULL,NULL,196,mp4,17555752
20150306_122708.mp4,\Device storage\DCIM\Camera\20150306_122708.mp4,2015-03-06 12:27:16.000,NULL,NULL,196,mp4,10730110
